Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,2.0,7.54,MALO,2.0,12.0,294.0,56.0,67.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,4.0,8.8,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,26.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,7.78,BUENO,4.0,2.0,40.0,9.0,17.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,No,B+,2006.0,2.0,8.83,BUENO,5.0,10.0,400.0,69.0,69.0
M,No,18.0,No,No,0.0,MAZATLÁN,Si,No,Si,Si,A+,2002.0,2.0,7.65,BUENO,4.0,7.0,206.0,42.0,46.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,3.0,8.64,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.31,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,8.44,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,No,O-,2005.0,3.0,9.15,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.91,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2002.0,3.0,8.57,BUENO,5.0,11.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,1.0,9.85,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,3.0,9.46,BUENO,5.0,10.0,400.0,69.0,69.0
H,No,19.0,Si,Si,1.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,7.89,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,No,Si,B+,2004.0,3.0,7.99,REGULAR,4.0,7.0,178.0,37.0,41.0
1,Si,19.0,Si,Si,1.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,4.0,7.29,REGULAR,4.0,4.0,121.0,25.0,33.0
1,No,18.91,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,9.7,REGULAR,5.0,13.0,400.0,69.0,69.0
M,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,1.0,8.06,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,5.0,7.02,MALO,4.0,2.0,45.0,11.0,17.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,8.36,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,No,Si,Si,A-,2001.0,3.0,7.1,REGULAR,2.0,12.0,387.0,67.0,69.0
1,No,19.0,No,No,0.0,MAZATLÁN,No,Si,Si,No,O+,2006.0,3.0,9.18,MALO,5.0,11.0,400.0,69.0,69.0
