Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,Si,19,Si,Si,1,MAZATLÁN,Si,Si,Si,Si,O+,2005,4,7.29,REGULAR,4,4,121,25,33
1,No,21,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,9.7,REGULAR,5,13,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,8.06,REGULAR,5,10,400,69,69
1,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,7.02,MALO,4,2,45,11,17
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.36,REGULAR,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,No,Si,Si,No,O+,2006,3,9.18,MALO,5,11,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,No,No,Si,O+,2005,6,7.99,REGULAR,4,6,197,41,47
2,No,18,No,Si,0,MAZATLÁN,Si,No,Si,Si,A+,2005,3,8.72,MALO,5,10,400,69,69
1,Si,18,No,No,0,GUASAVE,Si,Si,Si,Si,A+,2006,1,8.33,REGULAR,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,No,Si,O+,2006,2,9.89,BUENO,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A-,2006,4,8.78,MALO,5,10,400,69,69
1,Si,25,Si,Si,0,MAZATLÁN,No,No,Si,No,A+,2003,6,7.18,MALO,4,5,139,30,33
1,No,18,No,No,0,MAZATLÁN,No,Si,Si,No,A+,2006,5,9.7,MALO,5,10,400,69,69
2,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,O-,2005,6,8.83,BUENO,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,6,9.6,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,9.24,BUENO,5,10,400,69,69
2,No,18,Si,Si,0,MAZATLÁN,Si,Si,No,Si,A+,2005,4,9.56,BUENO,5,14,400,69,69
2,No,24,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,7.63,REGULAR,4,9,221,44,47
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,8.32,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2000,2,8.13,BUENO,4,0,0,0,0
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.03,BUENO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,7.86,BUENO,4,3,121,25,25
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,B+,2005,1,9.15,BUENO,5,11,400,69,69
2,Si,19,Si,Si,2,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,7.77,MALO,4,8,202,42,47
1,No,21,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,6,7.92,BUENO,4,0,0,0,0
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.17,REGULAR,5,10,400,69,69
2,No,19,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,B+,2006,1,9.68,MALO,5,10,400,69,69
1,Si,18,No,Si,2,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.91,REGULAR,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,7.45,MALO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,7.43,BUENO,4,1,40,9,9
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,9.57,REGULAR,5,10,400,69,69
2,No,18,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.89,MALO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.59,BUENO,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,4,8.42,BUENO,5,10,400,69,69
2,No,22,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2004,2,7.54,BUENO,4,9,190,40,48
1,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,5,9.09,BUENO,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2002,4,7.52,REGULAR,4,2,40,9,17
1,No,21,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,3,9.81,MALO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,2,9.21,BUENO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,No,Si,Si,No,O+,2005,5,7.12,MALO,4,1,31,8,9
1,Si,18,No,Si,2,LOS MOCHIS,Si,Si,Si,Si,O+,2005,6,7.41,REGULAR,4,7,134,29,33
1,Si,19,No,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,1,8.37,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,3,8.31,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.93,BUENO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,1998,1,7.7,REGULAR,4,1,2,1,9
1,Si,19,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,1,7.75,REGULAR,4,2,30,7,17
2,No,18,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.63,MALO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,8.39,BUENO,5,10,400,69,69
1,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,2,7.28,REGULAR,4,0,0,0,0
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,8.7,BUENO,5,10,400,69,69
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.33,REGULAR,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.84,REGULAR,5,10,400,69,69
1,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.56,REGULAR,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.64,BUENO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O-,2005,1,9.27,MALO,5,10,400,69,69
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,1,9.86,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.68,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2004,1,8.17,BUENO,5,10,400,69,69
1,No,21,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.51,MALO,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,B+,2005,3,8.14,BUENO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,4,9.11,MALO,5,10,400,69,69
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,9.86,BUENO,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,No,Si,Si,No,A+,2005,3,7.24,MALO,4,0,0,0,0
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,6,9.74,BUENO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.88,BUENO,5,13,400,69,69
1,Si,18,Si,No,1,MAZATLÁN,Si,Si,Si,Si,A+,2005,2,9.48,REGULAR,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,1999,4,9.02,BUENO,5,10,400,69,69
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,5,7.96,REGULAR,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,6,8.91,BUENO,5,10,400,69,69
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,9.14,REGULAR,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2003,2,9.54,REGULAR,5,11,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O-,2005,1,9.49,BUENO,5,10,400,69,69
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,9.47,BUENO,5,10,400,69,69
1,No,18,Si,Si,0,MAZATLÁN,Si,Si,No,Si,O+,2006,3,9.1,BUENO,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2003,1,8.38,MALO,5,10,400,69,69
1,Si,23,Si,Si,2,MAZATLÁN,Si,Si,Si,Si,O+,2006,4,7.84,REGULAR,4,5,63,14,17
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,8.86,BUENO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,B+,2006,1,8.89,MALO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2003,5,7.2,REGULAR,4,11,35,8,17
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.4,BUENO,5,10,400,69,69
2,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,4,8.31,MALO,5,10,400,69,69
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2002,6,7,BUENO,4,1,40,9,9
1,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,5,9.83,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,6,8.57,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2002,3,9.79,BUENO,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,3,8.19,MALO,5,10,400,69,69
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,8.69,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,1,9.86,BUENO,5,10,400,69,69
2,No,18,No,No,0,GUASAVE,Si,Si,Si,Si,O+,2006,1,9.67,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,6,9.05,MALO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,2,7.16,BUENO,5,10,400,69,69
1,No,20,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,2,8.36,BUENO,5,10,400,69,69
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,4,9.17,REGULAR,5,10,400,69,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2004,5,8.88,REGULAR,5,10,400,69,69
2,No,19,Si,No,0,MAZATLÁN,No,Si,Si,No,A+,2006,5,7.37,MALO,4,160,33,33,69
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,6,9.07,MALO,5,10,400,69,69
1,No,21,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,3,9.43,REGULAR,5,10,400,69,69
1,No,21,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,3,8.37,REGULAR,5,10,400,69,69
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2006,1,9.52,BUENO,5,10,400,69,69
2,No,18,Si,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,1,9.31,MALO,5,11,400,69,69
