Promedio Preparatoria,Creditos,Periodo,Materias Aprobadas,Materias Cursadas,Situación
-1.261012419,-2.052499418,-2.285650957,-2.08937789,-2.30370142,0
1.148085933,0.585140495,1.321959375,0.384154376,0.347147276,1
1.148085933,0.585140495,1.044450888,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,1.044450888,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.766942401,0.384154376,0.347147276,1
1.148085933,0.585140495,1.599467862,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,1.044450888,0.384154376,0.347147276,1
-1.261012419,-0.770313349,0.211925427,-0.646484068,-0.580649768,0
-1.261012419,-1.898637089,-1.730633983,-1.883250201,-1.950254928,0
-1.261012419,-1.070711228,-0.620600035,-0.935062832,-0.889915449,0
-0.056463243,0.585140495,0.489433914,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.766942401,0.384154376,0.347147276,1
-1.261012419,-1.415069772,-0.898108522,-1.306092672,-1.243361942,0
-1.261012419,-1.297841332,-0.620600035,-1.264867135,-1.243361942,0
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,1.044450888,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-1.261012419,-2.052499418,-2.00814247,-2.08937789,-1.950254928,0
-1.261012419,-2.089133305,-2.00814247,-2.130603428,-1.950254928,0
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,1.321959375,0.384154376,0.347147276,1
-1.261012419,-1.759428316,-2.00814247,-1.759573588,-1.950254928,0
-1.261012419,-1.085364783,-0.343091547,-0.935062832,-0.889915449,0
-1.261012419,-0.191497924,0.766942401,-0.151777615,0.258785652,0
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
-1.261012419,-0.836254347,-0.620600035,-0.728935143,-0.669011391,0
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.489433914,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
1.148085933,0.585140495,0.211925427,0.384154376,0.347147276,1
-1.261012419,-1.041404118,-0.620600035,-0.935062832,-0.889915449,0
1.148085933,0.585140495,1.044450888,0.384154376,0.347147276,1
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
-1.261012419,-2.01586553,-2.00814247,-2.006926814,-1.950254928,0
-0.056463243,0.585140495,0.211925427,0.384154376,0.347147276,1
-1.261012419,0.489892387,0.766942401,0.301703301,0.347147276,0
